sales_game_id,title,platform,genre,publisher,developer,release_year,source
193,Fable III,X360,Role-Playing,Microsoft Game Studios,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
194,Call of Duty: Advanced Warfare,XOne,Shooter,Activision,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
195,Microsoft Flight Simulator,PC,Simulation,Microsoft Game Studios,,1996.0,kaggle:ulrikthygepedersen/video-games-sales
196,Guitar Hero II,PS2,Misc,RedOctane,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
197,Resident Evil 5,PS3,Action,Capcom,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
198,Grand Theft Auto V,XOne,Action,Take-Two Interactive,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
199,Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
200,FIFA Soccer 11,PS3,Sports,Electronic Arts,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
201,Super Mario Bros.,GB,Platform,Nintendo,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
202,Resident Evil,PS,Action,Virgin Interactive,,1996.0,kaggle:ulrikthygepedersen/video-games-sales
203,Tony Hawk's Pro Skater,PS,Sports,Activision,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
204,Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,Nintendo,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
205,Warzone 2100,PS,Strategy,Eidos Interactive,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
206,Spyro the Dragon,PS,Platform,Sony Computer Entertainment,,1998.0,kaggle:ulrikthygepedersen/video-games-sales
207,Link's Crossbow Training,Wii,Shooter,Nintendo,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
208,Guitar Hero III: Legends of Rock,PS2,Misc,Activision,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
209,Fallout 3,X360,Role-Playing,Bethesda Softworks,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing,Nintendo,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
211,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
212,Madden NFL 06,PS2,Sports,Electronic Arts,,2005.0,kaggle:ulrikthygepedersen/video-games-sales
213,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
214,Diddy Kong Racing,N64,Racing,Nintendo,,1997.0,kaggle:ulrikthygepedersen/video-games-sales
215,Monster Hunter Freedom 3,PSP,Role-Playing,Capcom,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
216,Dr. Mario,NES,Puzzle,Nintendo,,1990.0,kaggle:ulrikthygepedersen/video-games-sales
217,God of War III,PS3,Action,Sony Computer Entertainment,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
218,StarCraft II: Wings of Liberty,PC,Strategy,Activision,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
219,Assassin's Creed,PS3,Adventure,Ubisoft,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
220,FIFA 15,PS3,Sports,Electronic Arts,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
221,Crash Team Racing,PS,Racing,Sony Computer Entertainment,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
222,FIFA 17,PS4,Sports,Electronic Arts,,2016.0,kaggle:ulrikthygepedersen/video-games-sales
223,Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
224,Driver 2,PS,Action,Atari,,2000.0,kaggle:ulrikthygepedersen/video-games-sales
225,The Simpsons: Hit & Run,PS2,Racing,Vivendi Games,,2003.0,kaggle:ulrikthygepedersen/video-games-sales
226,Tony Hawk's Pro Skater 2,PS,Sports,Activision,,2000.0,kaggle:ulrikthygepedersen/video-games-sales
227,Animal Crossing: City Folk,Wii,Simulation,Nintendo,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
228,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,,2002.0,kaggle:ulrikthygepedersen/video-games-sales
229,Forza Motorsport 4,X360,Racing,Microsoft Game Studios,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
230,Tomb Raider,PS,Action,Eidos Interactive,,1996.0,kaggle:ulrikthygepedersen/video-games-sales
231,Guitar Hero III: Legends of Rock,Wii,Misc,Activision,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
232,The Legend of Zelda: A Link to the Past,SNES,Action,Nintendo,,1991.0,kaggle:ulrikthygepedersen/video-games-sales
233,The Legend of Zelda: The Wind Waker,GC,Action,Nintendo,,2002.0,kaggle:ulrikthygepedersen/video-games-sales
234,Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
235,Luigi's Mansion: Dark Moon,3DS,Action,Nintendo,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
